algo,data,ari,nmi,n_c
cms,cifar10_CNN,0.6006951401131364,0.6716860537750542,2000
cms,cifar10_CNN,0.5551221525811341,0.661328166513796,2000
cms,cifar10_CNN,0.6424216057696184,0.6888224884458954,2000
cms,cifar10_CNN,0.5945095714379959,0.6767510240712482,2000
cms,cifar10_CNN,0.6177184810738249,0.6845790106626599,2000
cms,cifar10_CNN,0.6212789508549537,0.6892650250111861,2000
cms,cifar10_CNN,0.5902791609515644,0.6559737129510116,2000
cms,cifar10_CNN,0.6737811917244437,0.711374853775367,2000
cms,cifar10_CNN,0.6270520028644836,0.6817504040213275,2000
cms,cifar10_CNN,0.6023598430888907,0.6725815580294442,2000
