algo,data,ari,nmi,n_c,ex_time
cms,mnist,0.7265534605229197,0.757835468057851,2000,38.85068464279175
cms,mnist,0.7472118699137559,0.7775300352918536,2000,41.89771437644959
cms,mnist,0.7151762607750185,0.7750493027806562,2000,41.67474317550659
cms,mnist,0.7323836166224608,0.7756429238478955,2000,41.22686696052551
cms,mnist,0.8013627719412556,0.7904416444688878,2000,39.59456992149353
cms,mnist,0.7500859218691374,0.7607521349765265,2000,42.62959408760071
cms,mnist,0.7898011037171977,0.7746145420891819,2000,35.82899188995361
cms,mnist,0.7280649238466529,0.7528616265258027,2000,40.76213049888611
cms,mnist,0.7622573099795678,0.7706905816437611,2000,38.39378023147583
cms,mnist,0.750335268911639,0.7994364757967116,2000,49.63175868988037
avg,mnist,0.7503232508099605,0.7734854735479127,2000,41.04908344745636
